density,temperature,type,x,y
1.0,2100,rdf,2.52,3.873580623177364
1.0,2100,rdf,2.6,2.729169181571236
1.0,2100,rdf,2.68,2.0162737351368736
1.0,2100,rdf,2.7600000000000002,1.6927516880785514
1.0,2100,rdf,2.8400000000000003,1.9184817597868833
1.0,2100,rdf,2.92,2.0242066788444366
1.0,2100,rdf,3.0,1.8295248640205148
1.0,2100,rdf,3.08,1.1083539905582358
1.0,2100,rdf,3.16,1.231750642512179
1.0,2100,rdf,3.24,1.2472695492050714
1.0,2100,rdf,3.3200000000000003,1.6378445499090213
1.0,2100,rdf,3.4,1.2870987291428677
1.0,2100,rdf,3.48,1.4907068503399539
1.0,2100,rdf,3.56,2.0349490921153
1.0,2100,rdf,3.64,2.305838789323627
1.0,2100,rdf,3.72,2.408436126040458
1.0,2100,rdf,3.8000000000000003,2.1981899485222467
1.0,2100,rdf,3.88,1.6340724833780644
1.0,2100,rdf,3.96,1.3410012776526985
1.0,2100,rdf,4.04,1.2519551524631984
1.0,2100,rdf,4.12,1.4959957533288504
1.0,2100,rdf,4.2,1.529521779818001
1.0,2100,rdf,4.28,1.8952492563400585
1.0,2100,rdf,4.36,1.6697955068507637
1.0,2100,rdf,4.44,1.408895605600438
1.0,2100,rdf,4.5200000000000005,1.1264145480966539
1.0,2100,rdf,4.6000000000000005,1.340719408396278
1.0,2100,rdf,4.68,1.2952757194782054
1.0,2100,rdf,4.76,1.733682360880757
1.0,2100,rdf,4.84,1.6175630762541515
1.0,2100,rdf,4.92,1.5080179717792497
1.0,2100,rdf,5.0,1.2538231431459794
1.0,2100,rdf,5.08,1.4222102256169973
1.0,2100,rdf,5.16,1.1549204305743725
1.0,2100,rdf,5.24,1.4306145874380019
1.0,2100,rdf,5.32,1.1706133998729755
1.0,2100,rdf,5.4,1.0477404872696652
1.0,2100,rdf,5.48,1.2023503288172077
1.0,2100,rdf,5.5600000000000005,0.9947251324269364
1.0,2100,rdf,5.640000000000001,0.947996135300768
1.0,2100,rdf,5.72,1.0429362876483694
1.0,2100,rdf,5.8,1.1028265233247647
1.0,2100,rdf,5.88,1.067284153316375
1.0,2100,rdf,5.96,0.9885592283473312
1.0,2100,rdf,6.04,1.0006128253189408
1.0,2100,rdf,6.12,1.1494211227201776
1.0,2100,rdf,6.2,1.0993061744580492
1.0,2100,rdf,6.28,1.0815379620586847
1.0,2100,rdf,6.36,1.1574987051464578
1.0,2100,rdf,6.44,1.2532924983042717
1.0,2100,rdf,6.5200000000000005,1.1293880659075617
1.0,2100,rdf,6.6000000000000005,1.0976207853386677
1.0,2100,rdf,6.680000000000001,1.0181360966541202
1.0,2100,rdf,6.76,1.0115466797886634
1.0,2100,rdf,6.84,0.8311269895533804
1.0,2100,rdf,6.92,0.8783089403506006
1.0,2100,rdf,7.0,1.0283983661219867
1.0,2100,rdf,7.08,1.0211206011616214
1.0,2100,rdf,7.16,1.0022998601391688
1.0,2100,rdf,7.24,0.9272845024569211
1.0,2100,rdf,7.32,0.9774755666103708
1.0,2100,rdf,7.4,0.9673242170354004
1.0,2100,rdf,7.48,0.8226386645153171
1.0,2100,rdf,7.5600000000000005,0.9372265629357153
1.0,2100,rdf,7.640000000000001,0.8769149799164743
1.0,2100,rdf,7.72,0.9686858822104635
1.0,2100,rdf,7.8,0.9163086277996128
1.0,2100,rdf,7.88,0.9041879995614924
1.0,2100,rdf,7.96,0.873580398276075
1.0,2100,adf,0.9,0.0
1.0,2100,adf,2.6999999999999997,0.0
1.0,2100,adf,4.5,0.0
1.0,2100,adf,6.3,0.0
1.0,2100,adf,8.1,0.0
1.0,2100,adf,9.9,0.0
1.0,2100,adf,11.7,0.0
1.0,2100,adf,13.499999999999998,0.0
1.0,2100,adf,15.299999999999999,0.0
1.0,2100,adf,17.099999999999998,0.0
1.0,2100,adf,18.9,0.0
1.0,2100,adf,20.699999999999996,0.0
1.0,2100,adf,22.499999999999996,0.0
1.0,2100,adf,24.299999999999997,0.0
1.0,2100,adf,26.099999999999994,0.0
1.0,2100,adf,27.899999999999995,0.0
1.0,2100,adf,29.699999999999996,0.0
1.0,2100,adf,31.499999999999996,0.0
1.0,2100,adf,33.3,0.0
1.0,2100,adf,35.099999999999994,0.0
1.0,2100,adf,36.9,0.0
1.0,2100,adf,38.699999999999996,0.0
1.0,2100,adf,40.49999999999999,0.0
1.0,2100,adf,42.3,0.0
1.0,2100,adf,44.099999999999994,0.0
1.0,2100,adf,45.89999999999999,0.0
1.0,2100,adf,47.699999999999996,0.0
1.0,2100,adf,49.49999999999999,0.0
1.0,2100,adf,51.29999999999999,0.0016863406408094434
1.0,2100,adf,53.099999999999994,0.0
1.0,2100,adf,54.89999999999999,0.0
1.0,2100,adf,56.699999999999996,0.0
1.0,2100,adf,58.49999999999999,0.0
1.0,2100,adf,60.29999999999999,0.0016863406408094434
1.0,2100,adf,62.099999999999994,0.0
1.0,2100,adf,63.89999999999999,0.0
1.0,2100,adf,65.7,0.0
1.0,2100,adf,67.5,0.0
1.0,2100,adf,69.3,0.0016863406408094434
1.0,2100,adf,71.1,0.0
1.0,2100,adf,72.9,0.0
1.0,2100,adf,74.7,0.0
1.0,2100,adf,76.5,0.0
1.0,2100,adf,78.3,0.0
1.0,2100,adf,80.1,0.0
1.0,2100,adf,81.89999999999999,0.0
1.0,2100,adf,83.7,0.0
1.0,2100,adf,85.5,0.003372681281618887
1.0,2100,adf,87.3,0.0
1.0,2100,adf,89.1,0.0
1.0,2100,adf,90.89999999999999,0.0
1.0,2100,adf,92.7,0.0016863406408094434
1.0,2100,adf,94.5,0.0016863406408094434
1.0,2100,adf,96.3,0.0016863406408094434
1.0,2100,adf,98.1,0.006745362563237774
1.0,2100,adf,99.89999999999999,0.00505902192242833
1.0,2100,adf,101.69999999999999,0.008431703204047217
1.0,2100,adf,103.5,0.03035413153456998
1.0,2100,adf,105.3,0.026981450252951095
1.0,2100,adf,107.1,0.047217537942664416
1.0,2100,adf,108.89999999999999,0.03035413153456998
1.0,2100,adf,110.69999999999999,0.047217537942664416
1.0,2100,adf,112.5,0.06239460370994941
1.0,2100,adf,114.3,0.0657672849915683
1.0,2100,adf,116.1,0.08600337268128162
1.0,2100,adf,117.89999999999999,0.09106239460370995
1.0,2100,adf,119.69999999999999,0.09949409780775717
1.0,2100,adf,121.5,0.06408094435075885
1.0,2100,adf,123.3,0.07925801011804384
1.0,2100,adf,125.1,0.048903878583473864
1.0,2100,adf,126.89999999999999,0.03372681281618887
1.0,2100,adf,128.7,0.04384485666104553
1.0,2100,adf,130.5,0.02023608768971332
1.0,2100,adf,132.29999999999998,0.026981450252951095
1.0,2100,adf,134.1,0.006745362563237774
1.0,2100,adf,135.9,0.011804384485666104
1.0,2100,adf,137.7,0.013490725126475547
1.0,2100,adf,139.5,0.00505902192242833
1.0,2100,adf,141.29999999999998,0.00505902192242833
1.0,2100,adf,143.1,0.00505902192242833
1.0,2100,adf,144.9,0.006745362563237774
1.0,2100,adf,146.7,0.003372681281618887
1.0,2100,adf,148.5,0.0
1.0,2100,adf,150.29999999999998,0.0
1.0,2100,adf,152.1,0.0
1.0,2100,adf,153.89999999999998,0.0016863406408094434
1.0,2100,adf,155.7,0.0016863406408094434
1.0,2100,adf,157.5,0.0016863406408094434
1.0,2100,adf,159.29999999999998,0.0
1.0,2100,adf,161.1,0.0
1.0,2100,adf,162.89999999999998,0.0
1.0,2100,adf,164.7,0.0
1.0,2100,adf,166.5,0.0
1.0,2100,adf,168.29999999999998,0.0
1.0,2100,adf,170.1,0.0
1.0,2100,adf,171.89999999999998,0.0
1.0,2100,adf,173.7,0.0
1.0,2100,adf,175.5,0.0
1.0,2100,adf,177.29999999999998,0.0
1.0,2100,adf,179.1,0.0
1.0,2100,rings,4.0,0.010526315789473684
1.0,2100,rings,5.0,0.12631578947368421
1.0,2100,rings,6.0,0.5684210526315789
1.0,2100,rings,7.0,0.17894736842105263
1.0,2100,rings,8.0,0.05263157894736842
1.0,2100,rings,9.0,0.06315789473684211
1.0,2100,rings,10.0,0.0
1.0,2100,coordination,0.0,0.0
1.0,2100,coordination,1.0,0.0
1.0,2100,coordination,2.0,0.025
1.0,2100,coordination,3.0,0.97
1.0,2100,coordination,4.0,0.005
1.0,2200,rdf,0.04,0.0
1.0,2200,rdf,0.12,0.0
1.0,2200,rdf,0.2,0.0
1.0,2200,rdf,0.27999999999999997,0.0
1.0,2200,rdf,0.36,0.0
1.0,2200,rdf,0.44,0.0
1.0,2200,rdf,0.52,0.0
1.0,2200,rdf,0.6000000000000001,0.0
1.0,2200,rdf,0.68,0.0
1.0,2200,rdf,0.76,0.6863260037613986
1.0,2200,rdf,0.8400000000000001,0.0
1.0,2200,rdf,0.92,0.4684996146582847
1.0,2200,rdf,1.0,0.0
1.0,2200,rdf,1.08,0.0
1.0,2200,rdf,1.1600000000000001,0.0
