density,temperature,type,x,y,source
1.1,2700,rings,8.0,0.034482758620689655,GT
1.1,2700,rings,9.0,0.022988505747126436,GT
1.1,2700,rings,10.0,0.011494252873563218,GT
1.1,2700,coordination,0.0,0.0,GT
1.1,2700,coordination,1.0,0.0,GT
1.1,2700,coordination,2.0,0.055,GT
1.1,2700,coordination,3.0,0.93,GT
1.1,2700,coordination,4.0,0.015,GT
1.1,2800,rings,4.0,0.0,GT
1.1,2800,rings,5.0,0.3258426966292135,GT
1.1,2800,rings,6.0,0.4044943820224719,GT
1.1,2800,rings,7.0,0.0898876404494382,GT
1.1,2800,rings,8.0,0.0449438202247191,GT
1.1,2800,rings,9.0,0.06741573033707865,GT
1.1,2800,rings,10.0,0.06741573033707865,GT
1.1,2800,coordination,0.0,0.0,GT
1.1,2800,coordination,1.0,0.0,GT
1.1,2800,coordination,2.0,0.07,GT
1.1,2800,coordination,3.0,0.93,GT
1.1,2900,rings,4.0,0.0,GT
1.1,2900,rings,5.0,0.2127659574468085,GT
1.1,2900,rings,6.0,0.5851063829787234,GT
1.1,2900,rings,7.0,0.20212765957446807,GT
1.1,2900,rings,8.0,0.0,GT
1.1,2900,rings,9.0,0.0,GT
1.1,2900,rings,10.0,0.0,GT
1.1,2900,coordination,0.0,0.0,GT
1.1,2900,coordination,1.0,0.0,GT
1.1,2900,coordination,2.0,0.05,GT
1.1,2900,coordination,3.0,0.95,GT
1.1,3000,rings,4.0,0.0,GT
1.1,3000,rings,5.0,0.2696629213483146,GT
1.1,3000,rings,6.0,0.5393258426966292,GT
1.1,3000,rings,7.0,0.15730337078651685,GT
1.1,3000,rings,8.0,0.02247191011235955,GT
1.1,3000,rings,9.0,0.011235955056179775,GT
1.1,3000,rings,10.0,0.0,GT
1.1,3000,coordination,0.0,0.0,GT
1.1,3000,coordination,1.0,0.0,GT
1.1,3000,coordination,2.0,0.065,GT
1.1,3000,coordination,3.0,0.92,GT
1.1,3000,coordination,4.0,0.015,GT
1.1,3100,rings,4.0,0.0,GT
1.1,3100,rings,5.0,0.23404255319148937,GT
1.1,3100,rings,6.0,0.5531914893617021,GT
1.1,3100,rings,7.0,0.1595744680851064,GT
1.1,3100,rings,8.0,0.02127659574468085,GT
1.1,3100,rings,9.0,0.0,GT
1.1,3100,rings,10.0,0.031914893617021274,GT
1.1,3100,coordination,0.0,0.0,GT
1.1,3100,coordination,1.0,0.0,GT
1.1,3100,coordination,2.0,0.035,GT
1.1,3100,coordination,3.0,0.96,GT
1.1,3100,coordination,4.0,0.005,GT
1.1,3200,rings,4.0,0.0,GT
1.1,3200,rings,5.0,0.19318181818181818,GT
1.1,3200,rings,6.0,0.6477272727272727,GT
1.1,3200,rings,7.0,0.1590909090909091,GT
1.1,3200,rings,8.0,0.0,GT
1.1,3200,rings,9.0,0.0,GT
1.1,3200,rings,10.0,0.0,GT
1.1,3200,coordination,0.0,0.0,GT
1.1,3200,coordination,1.0,0.0,GT
1.1,3200,coordination,2.0,0.095,GT
1.1,3200,coordination,3.0,0.88,GT
1.1,3200,coordination,4.0,0.025,GT
1.1,3300,rings,4.0,0.0,GT
1.1,3300,rings,5.0,0.1875,GT
1.1,3300,rings,6.0,0.6041666666666666,GT
1.1,3300,rings,7.0,0.13541666666666666,GT
