density,temperature,type,x,y
3.3,2000,rdf,6.92,1.0118882303067267
3.3,2000,rdf,7.0,1.0134300291299967
3.3,2000,rdf,7.08,1.024238892872947
3.3,2000,rdf,7.16,0.9979608997056686
3.3,2000,rdf,7.24,1.0884267072747316
3.3,2000,rdf,7.32,0.9907150198771347
3.3,2000,rdf,7.4,1.0034438024859362
3.3,2000,rdf,7.48,0.9702752273476142
3.3,2000,rdf,7.5600000000000005,1.026636504405455
3.3,2000,rdf,7.640000000000001,0.9465408345586587
3.3,2000,rdf,7.72,0.9845229834816357
3.3,2000,rdf,7.8,0.9871587611040823
3.3,2000,rdf,7.88,0.9042848180644996
3.3,2000,rdf,7.96,0.9677984210292155
3.3,2000,adf,0.9,0.0
3.3,2000,adf,2.6999999999999997,0.0
3.3,2000,adf,4.5,0.0
3.3,2000,adf,6.3,0.0
3.3,2000,adf,8.1,0.0
3.3,2000,adf,9.9,0.0
3.3,2000,adf,11.7,0.0
3.3,2000,adf,13.499999999999998,0.0
3.3,2000,adf,15.299999999999999,0.0
3.3,2000,adf,17.099999999999998,0.0
3.3,2000,adf,18.9,0.0
3.3,2000,adf,20.699999999999996,0.0
3.3,2000,adf,22.499999999999996,0.0
3.3,2000,adf,24.299999999999997,0.0
3.3,2000,adf,26.099999999999994,0.0
3.3,2000,adf,27.899999999999995,0.0
3.3,2000,adf,29.699999999999996,0.0
3.3,2000,adf,31.499999999999996,0.0
3.3,2000,adf,33.3,0.0
3.3,2000,adf,35.099999999999994,0.0
3.3,2000,adf,36.9,0.0
3.3,2000,adf,38.699999999999996,0.0
3.3,2000,adf,40.49999999999999,0.0
3.3,2000,adf,42.3,0.0
3.3,2000,adf,44.099999999999994,0.0
3.3,2000,adf,45.89999999999999,0.0
3.3,2000,adf,47.699999999999996,0.0
3.3,2000,adf,49.49999999999999,0.0025167785234899327
3.3,2000,adf,51.29999999999999,0.003355704697986577
3.3,2000,adf,53.099999999999994,0.00587248322147651
3.3,2000,adf,54.89999999999999,0.007550335570469799
3.3,2000,adf,56.699999999999996,0.009228187919463088
3.3,2000,adf,58.49999999999999,0.012583892617449664
3.3,2000,adf,60.29999999999999,0.010906040268456376
3.3,2000,adf,62.099999999999994,0.008389261744966443
3.3,2000,adf,63.89999999999999,0.0050335570469798654
3.3,2000,adf,65.7,0.0025167785234899327
3.3,2000,adf,67.5,0.0008389261744966443
3.3,2000,adf,69.3,0.00587248322147651
3.3,2000,adf,71.1,0.0025167785234899327
3.3,2000,adf,72.9,0.0025167785234899327
3.3,2000,adf,74.7,0.0008389261744966443
3.3,2000,adf,76.5,0.0
3.3,2000,adf,78.3,0.0
3.3,2000,adf,80.1,0.0016778523489932886
3.3,2000,adf,81.89999999999999,0.0008389261744966443
3.3,2000,adf,83.7,0.0016778523489932886
3.3,2000,adf,85.5,0.0
3.3,2000,adf,87.3,0.0016778523489932886
3.3,2000,adf,89.1,0.0025167785234899327
3.3,2000,adf,90.89999999999999,0.0041946308724832215
3.3,2000,adf,92.7,0.01174496644295302
3.3,2000,adf,94.5,0.015100671140939598
3.3,2000,adf,96.3,0.014261744966442953
3.3,2000,adf,98.1,0.03355704697986577
3.3,2000,adf,99.89999999999999,0.02936241610738255
3.3,2000,adf,101.69999999999999,0.05453020134228188
3.3,2000,adf,103.5,0.0662751677852349
3.3,2000,adf,105.3,0.05704697986577181
3.3,2000,adf,107.1,0.050335570469798654
3.3,2000,adf,108.89999999999999,0.0662751677852349
3.3,2000,adf,110.69999999999999,0.0587248322147651
3.3,2000,adf,112.5,0.05201342281879195
3.3,2000,adf,114.3,0.051174496644295304
3.3,2000,adf,116.1,0.04865771812080537
3.3,2000,adf,117.89999999999999,0.047818791946308725
3.3,2000,adf,119.69999999999999,0.03859060402684564
3.3,2000,adf,121.5,0.025167785234899327
3.3,2000,adf,123.3,0.03607382550335571
3.3,2000,adf,125.1,0.025167785234899327
3.3,2000,adf,126.89999999999999,0.018456375838926176
3.3,2000,adf,128.7,0.01929530201342282
3.3,2000,adf,130.5,0.008389261744966443
3.3,2000,adf,132.29999999999998,0.01761744966442953
3.3,2000,adf,134.1,0.012583892617449664
3.3,2000,adf,135.9,0.007550335570469799
3.3,2000,adf,137.7,0.008389261744966443
3.3,2000,adf,139.5,0.0050335570469798654
3.3,2000,adf,141.29999999999998,0.0025167785234899327
3.3,2000,adf,143.1,0.006711409395973154
3.3,2000,adf,144.9,0.0025167785234899327
3.3,2000,adf,146.7,0.0025167785234899327
3.3,2000,adf,148.5,0.0008389261744966443
3.3,2000,adf,150.29999999999998,0.003355704697986577
3.3,2000,adf,152.1,0.0008389261744966443
3.3,2000,adf,153.89999999999998,0.0016778523489932886
3.3,2000,adf,155.7,0.0008389261744966443
3.3,2000,adf,157.5,0.0008389261744966443
3.3,2000,adf,159.29999999999998,0.0008389261744966443
3.3,2000,adf,161.1,0.0025167785234899327
3.3,2000,adf,162.89999999999998,0.0008389261744966443
3.3,2000,adf,164.7,0.0
3.3,2000,adf,166.5,0.0
3.3,2000,adf,168.29999999999998,0.0
3.3,2000,adf,170.1,0.0008389261744966443
3.3,2000,adf,171.89999999999998,0.0
3.3,2000,adf,173.7,0.0
3.3,2000,adf,175.5,0.0
3.3,2000,adf,177.29999999999998,0.0
3.3,2000,adf,179.1,0.0
3.3,2000,rings,4.0,0.0022471910112359553
3.3,2000,rings,5.0,0.07865168539325842
3.3,2000,rings,6.0,0.26741573033707866
3.3,2000,rings,7.0,0.23370786516853934
3.3,2000,rings,8.0,0.058426966292134834
3.3,2000,rings,9.0,0.12134831460674157
3.3,2000,rings,10.0,0.23820224719101124
3.3,2000,coordination,0.0,0.0
3.3,2000,coordination,1.0,0.0
3.3,2000,coordination,2.0,0.0
3.3,2000,coordination,3.0,0.12
3.3,2000,coordination,4.0,0.8
3.3,2000,coordination,5.0,0.08
3.3,2100,rdf,0.04,0.0
3.3,2100,rdf,0.12,0.0
3.3,2100,rdf,0.2,0.0
3.3,2100,rdf,0.27999999999999997,0.0
3.3,2100,rdf,0.36,0.0
3.3,2100,rdf,0.44,0.0
3.3,2100,rdf,0.52,0.0
3.3,2100,rdf,0.6000000000000001,0.0
3.3,2100,rdf,0.68,0.0
3.3,2100,rdf,0.76,0.0
3.3,2100,rdf,0.8400000000000001,0.0
3.3,2100,rdf,0.92,0.0
3.3,2100,rdf,1.0,0.0
3.3,2100,rdf,1.08,0.0
3.3,2100,rdf,1.1600000000000001,0.0
3.3,2100,rdf,1.24,0.03908593851539092
3.3,2100,rdf,1.32,0.10347966341345233
3.3,2100,rdf,1.4000000000000001,1.3185868898723245
3.3,2100,rdf,1.48,2.6068075546365113
3.3,2100,rdf,1.56,4.569218149759355
3.3,2100,rdf,1.6400000000000001,1.296190148165436
3.3,2100,rdf,1.72,0.16254339823848224
3.3,2100,rdf,1.8,0.07420924731954398
